case_id,case_type,expected,inferred,correct,error_type,elapsed_ms,checked_rules,condition_checks,avg_candidate_rules
complete_0001,complete,"[""哺乳动物""]","[""哺乳动物""]",1,exact_or_contains_expected,0.005790963768959045,10,17,5
complete_0002,complete,"[""哺乳动物""]","[""哺乳动物""]",1,exact_or_contains_expected,0.005708017852157354,10,17,5
complete_0003,complete,"[""哺乳动物""]","[""哺乳动物""]",1,exact_or_contains_expected,0.005582987796515226,10,18,5
complete_0004,complete,"[""哺乳动物""]","[""哺乳动物""]",1,exact_or_contains_expected,0.005542009603232145,10,19,5
complete_0005,complete,"[""鸟类""]","[""鸟类""]",1,exact_or_contains_expected,0.006458954885601997,14,25,7
complete_0006,complete,"[""鸟类""]","[""鸟类""]",1,exact_or_contains_expected,0.01333397813141346,20,32,10
complete_0007,complete,"[""鸟类""]","[""鸟类""]",1,exact_or_contains_expected,0.00829098280519247,18,30,9
complete_0008,complete,"[""爬行动物""]","[""爬行动物""]",1,exact_or_contains_expected,0.004749977961182594,10,17,5
complete_0009,complete,"[""爬行动物""]","[""爬行动物""]",1,exact_or_contains_expected,0.004957953933626413,10,18,5
complete_0010,complete,"[""鱼类""]","[""鱼类""]",1,exact_or_contains_expected,0.004874949809163809,10,17,5
complete_0011,complete,"[""鱼类""]","[""鱼类""]",1,exact_or_contains_expected,0.004874949809163809,10,18,5
complete_0012,complete,"[""昆虫""]","[""昆虫""]",1,exact_or_contains_expected,0.008208968210965395,18,32,9
complete_0013,complete,"[""两栖动物""]","[""两栖动物""]",1,exact_or_contains_expected,0.004333967808634043,7,12,3.5
complete_0014,complete,"[""哺乳动物"", ""食肉动物""]","[""食肉动物""]",1,exact_or_contains_expected,0.016834004782140255,36,68,18
complete_0015,complete,"[""哺乳动物"", ""食肉动物""]","[""食肉动物""]",1,exact_or_contains_expected,0.014999997802078724,36,68,18
complete_0016,complete,"[""哺乳动物"", ""有蹄类动物""]","[""有蹄类动物""]",1,exact_or_contains_expected,0.011541997082531452,28,50,14
complete_0017,complete,"[""哺乳动物"", ""有蹄类动物""]","[""有蹄类动物""]",1,exact_or_contains_expected,0.011208001524209976,28,52,14
complete_0018,complete,"[""哺乳动物"", ""啮齿类动物""]","[""啮齿类动物""]",1,exact_or_contains_expected,0.010749965440481901,24,46,12
complete_0019,complete,"[""哺乳动物"", ""灵长类动物""]","[""灵长类动物""]",1,exact_or_contains_expected,0.010749965440481901,24,47,12
complete_0020,complete,"[""哺乳动物"", ""鲸类""]","[""鲸类""]",1,exact_or_contains_expected,0.009624985978007317,21,41,10.5
complete_0021,complete,"[""哺乳动物"", ""蝙蝠类""]","[""蝙蝠类""]",1,exact_or_contains_expected,0.011458003427833319,26,45,13
complete_0022,complete,"[""食肉动物"", ""狮子""]","[""狮子""]",1,exact_or_contains_expected,0.01745804911479354,40,102,20
complete_0023,complete,"[""食肉动物"", ""老虎""]","[""老虎""]",1,exact_or_contains_expected,0.016499951016157866,40,102,20
complete_0024,complete,"[""食肉动物"", ""豹子""]","[""豹子""]",1,exact_or_contains_expected,0.01799996243789792,44,106,22
